x_m,y_m,w_tr_right_m,w_tr_left_m
0.850432,0.843223,0.4711,0.3755
0.899762,0.832680,0.5024,0.3679
0.949975,0.830131,0.4713,0.3591
0.999844,0.831716,0.4475,0.3531
1.052492,0.840559,0.4340,0.3443
1.103734,0.852311,0.4198,0.3325
1.156529,0.866809,0.4104,0.3219
1.206529,0.886358,0.3917,0.3147
1.256529,0.905793,0.3782,0.3168
1.306529,0.926927,0.3736,0.3237
1.356529,0.948617,0.3721,0.3231
1.406529,0.974067,0.3710,0.3264
1.456529,0.999173,0.3726,0.3226
1.506529,1.024181,0.3711,0.3285
1.556529,1.051968,0.3659,0.3416
1.606529,1.078104,0.3550,0.3414
1.656529,1.109814,0.3580,0.3400
1.706529,1.139872,0.3648,0.3309
1.756529,1.168199,0.3656,0.3320
1.806529,1.197342,0.3625,0.3242
1.856529,1.227058,0.3541,0.3262
1.856529,1.227058,0.3541,0.3262
1.906529,1.257100,0.3555,0.3381
1.956529,1.287224,0.3626,0.3332
2.006529,1.314390,0.3621,0.3356
2.056529,1.342700,0.3672,0.3284
2.109324,1.368950,0.3651,0.3344
2.163361,1.397081,0.3577,0.3500
2.217251,1.428235,0.3492,0.3461
2.269769,1.459045,0.3519,0.3449
2.319850,1.493289,0.3606,0.3341
2.366598,1.527434,0.3701,0.3322
2.409275,1.565093,0.3738,0.3349
2.447310,1.602573,0.3805,0.3345
2.483090,1.643321,0.3983,0.3311
2.512021,1.687993,0.4283,0.3225
2.534185,1.732730,0.4558,0.3166
2.549827,1.780817,0.4550,0.3112
2.559357,1.828235,0.4269,0.3081
2.566140,1.878104,0.4047,0.3097
2.566565,1.930752,0.3937,0.3101
2.564489,1.981994,0.3746,0.3080
2.556791,2.034789,0.3638,0.3003
2.545022,2.084789,0.3649,0.2928
2.530900,2.134789,0.3585,0.2920
2.516303,2.184789,0.3546,0.3000
2.503276,2.234789,0.3568,0.3131
2.492309,2.284789,0.3482,0.3228
2.479543,2.334789,0.3419,0.3269
2.465633,2.384789,0.3445,0.3249
2.451233,2.434789,0.3402,0.3307
2.436996,2.484789,0.3348,0.3445
2.423577,2.534789,0.3367,0.3507
2.411629,2.584789,0.3309,0.3586
2.399010,2.634789,0.3234,0.3568
2.386212,2.684789,0.3242,0.3622
2.376356,2.734789,0.3302,0.3772
2.366974,2.784789,0.3396,0.3904
2.362740,2.834789,0.3438,0.4062
2.363819,2.884789,0.3427,0.4073
2.363067,2.934789,0.3435,0.4065
2.367627,2.984789,0.3426,0.4111
2.372825,3.034789,0.3484,0.4163
2.378334,3.084789,0.3608,0.4009
2.388173,3.134789,0.3717,0.3873
2.401854,3.184789,0.3685,0.3765
2.416091,3.234789,0.3720,0.3732
2.434741,3.284789,0.3751,0.3815
2.449844,3.334789,0.3704,0.3747
2.467725,3.384789,0.3705,0.3699
2.487405,3.434789,0.3725,0.3633
2.505107,3.484789,0.3654,0.3626
2.524198,3.534789,0.3646,0.3711
2.543535,3.584789,0.3714,0.3689
2.559177,3.634789,0.3784,0.3628
2.578840,3.684789,0.3810,0.3555
2.598585,3.734789,0.3717,0.3564
2.614473,3.784789,0.3735,0.3614
2.634218,3.834789,0.3757,0.3604
2.653881,3.884789,0.3666,0.3584
2.669523,3.934789,0.3689,0.3471
2.688860,3.984789,0.3711,0.3471
2.705156,4.034789,0.3653,0.3522
2.721616,4.084789,0.3670,0.3490
2.741442,4.134789,0.3685,0.3481
2.760697,4.184789,0.3600,0.3391
2.775440,4.234789,0.3635,0.3342
2.793387,4.284789,0.3666,0.3405
2.810599,4.334789,0.3601,0.3391
2.830442,4.384789,0.3589,0.3390
2.849141,4.434789,0.3609,0.3288
2.865715,4.484789,0.3552,0.3250
2.883695,4.534789,0.3560,0.3310
2.899468,4.584789,0.3665,0.3291
2.915012,4.634789,0.3730,0.3243
2.929674,4.684789,0.3802,0.3116
2.940167,4.734789,0.3798,0.3008
2.946003,4.784789,0.3905,0.2938
2.953995,4.834789,0.4025,0.2975
2.956676,4.884789,0.3999,0.3001
2.956676,4.934789,0.3999,0.3001
2.953995,4.984789,0.4025,0.2975
2.948798,5.034789,0.4077,0.2965
2.941410,5.084789,0.3947,0.3019
2.932322,5.134789,0.3809,0.3139
2.917676,5.184789,0.3706,0.3268
2.900923,5.234789,0.3652,0.3304
2.882877,5.284789,0.3567,0.3411
2.864522,5.334789,0.3539,0.3426
2.845283,5.384789,0.3455,0.3513
2.824754,5.434789,0.3455,0.3518
2.802688,5.490379,0.3364,0.3605
2.779004,5.545659,0.3358,0.3604
2.753783,5.599402,0.3316,0.3657
2.727271,5.650546,0.3346,0.3610
2.695365,5.698192,0.3398,0.3591
2.661269,5.744400,0.3513,0.3637
2.625555,5.784250,0.3636,0.3669
2.588958,5.817496,0.3848,0.3659
2.547866,5.844057,0.4062,0.3542
2.505973,5.864014,0.4208,0.3431
2.459831,5.877613,0.4072,0.3305
2.413296,5.888058,0.3805,0.3215
2.363083,5.891572,0.3587,0.3120
2.313214,5.891850,0.3322,0.3071
2.260566,5.885606,0.3168,0.3008
2.209324,5.877025,0.2996,0.2922
2.156529,5.863311,0.2893,0.2785
2.106529,5.849140,0.2793,0.2690
2.056529,5.832206,0.2717,0.2669
2.006529,5.817676,0.2718,0.2770
1.956529,5.803733,0.2755,0.2869
1.906529,5.787012,0.2672,0.2935
1.856529,5.766940,0.2645,0.2993
1.806529,5.744662,0.2601,0.3001
1.756529,5.724116,0.2586,0.3061
1.706529,5.702099,0.2533,0.3065
1.656529,5.678202,0.2614,0.3100
1.606529,5.652017,0.2769,0.3064
1.556529,5.627646,0.2759,0.3095
1.506529,5.602050,0.2769,0.3065
1.456529,5.579493,0.2742,0.2989
1.406529,5.557100,0.2727,0.2901
1.356529,5.534789,0.2693,0.2915
1.306529,5.512478,0.2682,0.2951
1.256529,5.490085,0.2643,0.2961
1.206529,5.467528,0.2719,0.2999
1.156529,5.441932,0.2854,0.2977
1.106529,5.420356,0.2827,0.3026
1.056529,5.395413,0.2825,0.3007
1.006529,5.374165,0.2792,0.3062
0.956529,5.349222,0.2793,0.3040
0.906529,5.327646,0.2759,0.3095
0.856529,5.302050,0.2769,0.3065
0.806529,5.279493,0.2742,0.2989
0.756529,5.257100,0.2822,0.2901
0.706529,5.234789,0.2915,0.2915
0.656529,5.212478,0.2901,0.2951
0.606529,5.187290,0.2894,0.2937
0.556529,5.166286,0.2865,0.2987
0.506529,5.142079,0.2853,0.2978
0.456529,5.121729,0.2814,0.3039
0.406529,5.097849,0.2804,0.3028
0.356529,5.077499,0.2760,0.3093
0.306529,5.053292,0.2859,0.3076
0.256529,5.032288,0.2937,0.3017
0.206529,5.007100,0.2951,0.2901
0.156529,4.984789,0.2915,0.2915
0.106529,4.962478,0.2901,0.2951
0.056529,4.937290,0.2894,0.2937
0.006529,4.916286,0.2865,0.2987
-0.043471,4.892079,0.2969,0.2978
-0.093471,4.871729,0.3028,0.3039
-0.146266,4.850644,0.3003,0.3066
-0.197508,4.831536,0.2923,0.3145
-0.250156,4.809977,0.2902,0.3167
-0.300025,4.788843,0.2847,0.3222
-0.350238,4.763867,0.2865,0.3201
-0.399568,4.738091,0.2856,0.3213
-0.446953,4.711922,0.2894,0.3168
-0.491493,4.681422,0.3078,0.3163
-0.532454,4.649957,0.3272,0.3216
-0.569264,4.613753,0.3442,0.3216
-0.601513,4.576339,0.3633,0.3214
-0.631751,4.534103,0.3862,0.3247
-0.655550,4.490739,0.4138,0.3296
-0.673154,4.442798,0.4171,0.3347
-0.687767,4.394138,0.4157,0.3444
-0.695612,4.341474,0.4229,0.3522
-0.700385,4.288826,0.4392,0.3569
-0.698800,4.237584,0.4447,0.3553
-0.695040,4.184789,0.4458,0.3551
-0.686312,4.134789,0.4339,0.3571
-0.677289,4.084789,0.4172,0.3660
-0.661157,4.034789,0.4107,0.3754
-0.645710,3.984789,0.4012,0.3922
-0.624462,3.934789,0.3983,0.4095
-0.602739,3.884789,0.3951,0.4112
-0.581523,3.834789,0.3918,0.4160
-0.557446,3.784789,0.3988,0.4153
-0.534448,3.734789,0.4110,0.4036
-0.509326,3.684789,0.4124,0.3954
-0.486181,3.634789,0.4095,0.3968
-0.461974,3.584789,0.4099,0.3979
-0.440970,3.534789,0.4053,0.4006
-0.415782,3.484789,0.4064,0.3855
-0.390676,3.434789,0.4055,0.3782
-0.369918,3.384789,0.4025,0.3828
-0.346119,3.334789,0.4008,0.3832
-0.326341,3.284789,0.3966,0.3883
-0.303196,3.234789,0.4029,0.3897
-0.280951,3.184789,0.4140,0.3907
-0.259359,3.134789,0.4124,0.3793
